clustering_ids,market_ids,car_ids,firm_ids,make,model,shares,quantity,trend,prices,mpg,hp,wt,len,wid,ht,wb,Doors,Seats,hpwt,space,ULSP,ULSD,CPI,mpd,region,Segment,Segment_Desc
48_2,2013,48_2_2013,Toyota,Lexus,GS,7.19857044859797e-05,595,5,45.3447162,3.9,279.0909091,383.8043,4850,1840,1455,2850,4,5,0.727169834,1.38322426,1.363654822,1.427276455,0.985,0.61477476,Japan,5,E-segment (mid-size luxury sedan)
48_2,2017,48_2_2017,Toyota,Lexus,GS,4.00471086698436e-05,338,9,49.61269227,4.77047619,301.3809524,390.4277038,4886.666667,2097.142857,1452.142857,2850,4,5,0.771925121,1.588450797,1.136482666,1.162544636,1.034,0.912889408,Japan,5,E-segment (mid-size luxury sedan)
48_2,2012,48_2_2012,Toyota,Lexus,GS,6.96783887932915e-05,575,4,46.47715448,3.9,279.0909091,383.8043,4850,1840,1455,2850,4,5,0.727169834,1.38322426,1.412591051,1.479333634,0.961,0.593305252,Japan,5,E-segment (mid-size luxury sedan)
48_2,2016,48_2_2016,Toyota,Lexus,GS,6.43757161947169e-05,541,8,50.94292335,4.77047619,301.3809524,390.4277038,4886.666667,2097.142857,1452.142857,2850,4,5,0.771925121,1.588450797,1.081920785,1.096510962,1.007,0.963425949,Japan,5,E-segment (mid-size luxury sedan)
48_21,2016,48_21_2016,Toyota,Lexus,RC,6.66366008669898e-05,560,8,42.57497517,4.652,247.88,377.854231,4695.8,2069.08,1394.6,2730,2,4,0.656020178,1.505982447,1.081920785,1.096510962,1.007,0.93949898,Japan,4,D-segment (mid-size)
48_21,2014,48_21_2014,Toyota,Lexus,RC,6.03315338447839e-07,5,6,63.61,2.6,470,389.11543,4705,2070,1390,2730,2,4,1.207867804,1.5096039,1.274178846,1.334742308,1,0.438442816,Japan,4,D-segment (mid-size)
48_21,2015,48_21_2015,Toyota,Lexus,RC,2.08724443182821e-05,175,7,42.873,4.652,247.88,377.854231,4695.8,2069.08,1394.6,2730,2,4,0.656020178,1.505982447,1.110338462,1.149969231,1,0.905467168,Japan,4,D-segment (mid-size)
48_21,2017,48_21_2017,Toyota,Lexus,RC,4.82224060018531e-05,407,9,41.46324952,4.652,247.88,377.854231,4695.8,2069.08,1394.6,2730,2,4,0.656020178,1.505982447,1.136482666,1.162544636,1.034,0.890217529,Japan,4,D-segment (mid-size)
48_24,2012,48_24_2012,Toyota,Lexus,RX,0.000210368,1736,4,54.30729208,4.4,294,466.27713,4770,1885,1685,2740,5,5,0.630526314,1.393679043,1.412591051,1.479333634,0.961,0.669370028,Japan,7,J-segment (SUV)
48_24,2016,48_24_2016,Toyota,Lexus,RX,0.000275947,2319,8,51.92520776,4.178947368,276.8421053,448.2340558,4890,2180,1689.473684,2790,5,5,0.61762845,1.652336089,1.081920785,1.096510962,1.007,0.843963196,Japan,7,J-segment (SUV)
48_24,2014,48_24_2014,Toyota,Lexus,RX,0.000195354,1619,6,52.67675,4.4,294,463.741817,4770,1885,1685,2740,5,5,0.633973451,1.393679043,1.274178846,1.334742308,1,0.74198015,Japan,7,J-segment (SUV)
48_24,2008,48_24_2008,Toyota,Lexus,RX,0.00033112,2656,0,47.87454173,2.973684211,270.4210526,423.6931542,4750.526316,1845,1677.222222,2720,5,5,0.638247397,1.358535947,1.263295795,1.38792344,0.847,0.493457517,Japan,7,J-segment (SUV)
48_24,2010,48_24_2010,Toyota,Lexus,RX,0.000310533,2526,2,56.88590604,4.4,294,466.27713,4770,1885,1685,2740,5,5,0.630526314,1.393679043,1.307647135,1.333718379,0.894,0.732866276,Japan,7,J-segment (SUV)
48_24,2011,48_24_2011,Toyota,Lexus,RX,0.000218156,1786,3,53.54751071,4.4,294,466.27713,4770,1885,1685,2740,5,5,0.630526314,1.393679043,1.428407593,1.486139022,0.934,0.664174557,Japan,7,J-segment (SUV)
48_24,2013,48_24_2013,Toyota,Lexus,RX,0.00021874,1808,5,53.47893401,4.4,294,463.741817,4770,1885,1685,2740,5,5,0.633973451,1.393679043,1.363654822,1.427276455,0.985,0.693592036,Japan,7,J-segment (SUV)
48_24,2009,48_24_2009,Toyota,Lexus,RX,0.000302489,2442,1,48.96518032,3.280769231,274.8461538,433.20783,4755,1852.692308,1680,2724.545455,5,5,0.634444105,1.365484754,1.150044413,1.20266033,0.866,0.613491881,Japan,7,J-segment (SUV)
48_24,2015,48_24_2015,Toyota,Lexus,RX,0.000153621,1288,7,52.16297297,4.27027027,284.4324324,455.8200811,4825.135135,2020.540541,1687.027027,2762.972973,5,5,0.62400154,1.511158733,1.110338462,1.149969231,1,0.831167138,Japan,7,J-segment (SUV)
48_24,2017,48_24_2017,Toyota,Lexus,RX,0.000236965,2000,9,50.56932709,4.178947368,276.8421053,448.2340558,4890,2180,1689.473684,2790,5,5,0.61762845,1.652336089,1.136482666,1.162544636,1.034,0.799693078,Japan,7,J-segment (SUV)
48_8,2008,48_8_2008,Toyota,Lexus,IS,0.000475113,3811,0,34.14971392,3.405128205,200.6153846,347.2559144,4580.512821,1833.717949,1428.782051,2730,4,5,0.57771625,1.301906139,1.263295795,1.38792344,0.847,0.565051966,Japan,4,D-segment (mid-size)
48_8,2009,48_8_2009,Toyota,Lexus,IS,0.000365786,2953,1,34.95328824,3.847619048,200.3333333,351.1119805,4593.333333,1907.857143,1434.642857,2730,3.80952381,4.904761905,0.570568208,1.358334874,1.150044413,1.20266033,0.866,0.719490729,Japan,4,D-segment (mid-size)
48_8,2015,48_8_2015,Toyota,Lexus,IS,0.000324895,2724,7,32.40037037,4.648148148,216.962963,350.2079696,4665,1938.592593,1430,2800,4,5,0.619526058,1.401752156,1.110338462,1.149969231,1,0.904717442,Japan,4,D-segment (mid-size)
48_8,2011,48_8_2011,Toyota,Lexus,IS,0.000190795,1562,3,36.33984654,3.791666667,205.75,352.4176929,4603.75,1894.166667,1424.791667,2730,3.5,4.75,0.583824263,1.351645981,1.428407593,1.486139022,0.934,0.572347393,Japan,4,D-segment (mid-size)
48_8,2017,48_8_2017,Toyota,Lexus,IS,0.000171089,1444,9,36.08427114,5.79,223,355.94592,4680,2027,1430,2800,4,5,0.626499666,1.470390329,1.136482666,1.162544636,1.034,1.107987853,Japan,4,D-segment (mid-size)
48_8,2010,48_8_2010,Toyota,Lexus,IS,0.000307337,2500,2,35.70946835,3.929411765,199.9411765,349.3674282,4595.294118,1922.941176,1431.176471,2730,3.764705882,4.882352941,0.57229484,1.369658661,1.307647135,1.333718379,0.894,0.654484856,Japan,4,D-segment (mid-size)
48_8,2014,48_8_2014,Toyota,Lexus,IS,0.000370918,3074,6,32.09546512,4.727906977,211.8372093,349.8167967,4665,1915.976744,1430,2800,4,5,0.605566146,1.385399151,1.274178846,1.334742308,1,0.79727571,Japan,4,D-segment (mid-size)
48_8,2013,48_8_2013,Toyota,Lexus,IS,0.00020398,1686,5,33.28309254,4.6,211.4615385,349.43227,4665,1910.153846,1430,2800,4,5,0.605157441,1.381188746,1.363654822,1.427276455,0.985,0.725118947,Japan,4,D-segment (mid-size)
48_8,2016,48_8_2016,Toyota,Lexus,IS,0.000228587,1921,8,34.9041708,5.6716,224.72,355.4288364,4671,2027,1430,2800,4,5,0.632250333,1.467562655,1.081920785,1.096510962,1.007,1.145413245,Japan,4,D-segment (mid-size)
48_8,2012,48_8_2012,Toyota,Lexus,IS,0.000109304,902,4,37.80143233,3.088235294,229.9411765,357.2781235,4611.470588,1854.705882,1420.294118,2730,3.294117647,4.647058824,0.643591536,1.325706935,1.412591051,1.479333634,0.961,0.469811851,Japan,4,D-segment (mid-size)
53_1,2016,53_1_2016,AggFirm,MG,GS,6.67555947971094e-05,561,8,18.00893744,4.575,163,312.3395385,4500,2081,1665,2650,5,5,0.521867967,1.451501971,1.081920785,1.096510962,1.007,0.923948373,United Kingdom,7,J-segment (SUV)
53_1,2017,53_1_2017,AggFirm,MG,GS,0.000109359,923,9,17.53868472,4.575,163,312.3395385,4500,2081,1665,2650,5,5,0.521867967,1.451501971,1.136482666,1.162544636,1.034,0.87548263,United Kingdom,7,J-segment (SUV)
53_2,2013,53_2_2013,AggFirm,MG,MG3,2.32290004391733e-05,192,5,9.562436548,4.8,104,252.869914,4018,1912,1507,2520,5,5,0.411278662,1.190778148,1.363654822,1.427276455,0.985,0.756645858,United Kingdom,2,B-segment (subcompact)
53_2,2014,53_2_2014,AggFirm,MG,MG3,0.000196439,1628,6,9.660666667,4.8,104,253.1638633,4018,1912,1507,2520,5,5,0.410801126,1.190778148,1.274178846,1.334742308,1,0.80943289,United Kingdom,2,B-segment (subcompact)
